deliverable_type_id,document_type_id
Annual Budget Neutrality Report,General File
Close Out Report,General File
Demonstration-Specific Deliverable,General File
Evaluation Design,General File
HCBS Actual and Estimated Enrollment Number Report (1915(i)-like),General File
"HCBS Deficiency, Remediation and A/N/E Incident Report (1915(c)-like)",General File
HCBS Evidentiary Report,General File
HCBS Performance Measures Report,General File
HCBS Quality Improvement Strategy Report,General File
Implementation Plan,General File
Interim Evaluation Report,General File
Mid-point Assessment,General File
Monitoring Protocol,General File
Monitoring Report,General File
Quarterly Budget Neutrality Report,General File
Summative Evaluation Report,General File
Transition Plan,General File
Close Out Report,Close Out Report
Demonstration-Specific Deliverable,Demonstration-Specific Deliverable
Evaluation Design,Evaluation Design
HCBS Actual and Estimated Enrollment Number Report (1915(i)-like),HCBS Actual and Estimated Enrollment Number Report (1915(i)-like)
"HCBS Deficiency, Remediation and A/N/E Incident Report (1915(c)-like)","HCBS Deficiency, Remediation and A/N/E Incident Report (1915(c)-like)"
HCBS Evidentiary Report,HCBS Evidentiary Report
HCBS Performance Measures Report,HCBS Performance Measures Report
HCBS Quality Improvement Strategy Report,HCBS Quality Improvement Strategy Report
Implementation Plan,Implementation Plan
Interim Evaluation Report,Interim Evaluation Report
Mid-point Assessment,Mid-point Assessment
Monitoring Protocol,Monitoring Protocol
Monitoring Report,Monitoring Report
Summative Evaluation Report,Summative Evaluation Report
Transition Plan,Transition Plan
Annual Budget Neutrality Report,BN Workbook
Annual Budget Neutrality Report,BN Template
Quarterly Budget Neutrality Report,BN Workbook
Quarterly Budget Neutrality Report,BN Template
