mysql_table,mysql_column,demos_table,demos_column,transform,notes
mdcd_demo,mdcd_demo_id,demonstration,id,id_map,UUID minted from PMDA only via migration._id_map_demo
mdcd_demo,mdcd_demo_name,demonstration,name,copy,Direct copy after trim
mdcd_demo,mdcd_demo_desc,demonstration,description,copy,Direct copy after trim
mdcd_demo,geo_ansi_state_cd,demonstration,state_id,crosswalk:state,Two-letter ANSI state code -> demos_app.state.id (text)
mdcd_demo,state_prfmnc_yr_strt_dt,demonstration,effective_date,cast,MySQL date -> Postgres timestamptz (UTC midnight)
mdcd_demo,state_prfmnc_yr_end_dt,demonstration,expiration_date,cast,MySQL date -> Postgres timestamptz (UTC midnight)
mdcd_demo,creatd_dt,demonstration,created_at,cast,MySQL timestamp -> Postgres timestamptz (UTC)
mdcd_demo,updtd_dt,demonstration,updated_at,cast,MySQL timestamp -> Postgres timestamptz (UTC)
mdcd_demo,mdcd_demo_stus_cd,demonstration,status_id,crosswalk:demo_status,Status crosswalk (codes 2-9 promoted; code 1 'Pending' withheld pending SME)
mdcd_demo,,demonstration,application_type_id,constant,"Constant 'Demonstration' (§6.3); composite FK demonstration(id, application_type_id) -> application"
mdcd_demo,mdcd_demo_num,demonstration,medicaid_id,derive,"Legacy-preserved 11-W-NNNNN/R number (§6.6); never minted"
mdcd_demo,mdcd_scndry_demo_num,demonstration,chip_id,derive,"Preserve legacy 21-W number when present; else mint from demos_app.chip_id_number_seq (§6.6)"
mdcd_demo,,demonstration,current_phase_id,derive,"Date-derived from stg.demonstration_resolved -> Approved fallback -> Concept (§6.1); SME-ratify"
mdcd_demo,aprvl_dt,application_date,date_value,derive,Approval date -> application_date (date_type_id = 'Application Approval Date'); only for loaded demonstrations where aprvl_dt IS NOT NULL
mdcd_demo,mdcd_demo_id,application_date,application_id,id_map,"Shared application UUID (stg.demonstration_resolved.new_uuid); IS-A shared PK with application"
mdcd_demo,,application_date,date_type_id,constant,"Constant 'Application Approval Date' (seeded by DEMOS migration 20260617124348)"
mdcd_demo_amndmt,mdcd_demo_amndmt_id,amendment,id,id_map,UUID minted from PMDA-valid amendments via migration._id_map_mdcd_demo_amndmt; shared with the application anchor
mdcd_demo_amndmt,mdcd_demo_id,amendment,demonstration_id,id_map,Approved parent demo via migration._id_map_mdcd_demo; pending-only/held-back parents excluded (parity check 19)
mdcd_demo_amndmt,mdcd_demo_amndmt_name,amendment,name,copy,Direct copy after trim
mdcd_demo_amndmt,amndmt_desc,amendment,description,copy,Trim then NULLIF empty
mdcd_demo_amndmt,amndmt_prd_from_dt,amendment,effective_date,cast,Performance-period start date -> timestamptz (SME-ratify vs amndmt_prd_to_dt)
mdcd_demo_amndmt,mdcd_demo_amndmt_stus_cd,amendment,status_id,crosswalk:amendment_status,Status crosswalk inlined in 64 (1->Under Review; 2->Approved; 3->Withdrawn; 4->Denied); SME-ratify
mdcd_demo_amndmt,mdcd_demo_amndmt_stus_cd,amendment,current_phase_id,derive,Status-derived (no source column): Approved->Approval Summary; Under Review->Review; Withdrawn/Denied->Concept; SME-ratify
mdcd_demo_amndmt,mdcd_demo_aplctn_sgntr_lvl_cd,amendment,signature_level_id,derive,OA->OA; OCD->OCD; else NULL (OGD/DD barred on amendments; dropped codes in parity check 19)
mdcd_demo_amndmt,creatd_dt,amendment,created_at,cast,MySQL timestamp -> Postgres timestamptz
mdcd_demo_amndmt,creatd_dt,amendment,updated_at,cast,No updated-at source; set = created_at (creatd_dt)
mdcd_demo_amndmt,creatd_dt,amendment,status_updated_at,cast,= updated_at (creatd_dt); mirrors the DEMOS status_updated_at backfill
mdcd_demo_amndmt,,amendment,application_type_id,constant,"Constant 'Amendment'; composite FK amendment(id, application_type_id) -> application"
mdcd_demo_amndmt,mdcd_demo_id,amendment,demonstration_status_id,derive,"Parent demo's status_id via JOIN to demos_app.demonstration; composite FK amendment(demonstration_id, demonstration_status_id) -> demonstration(id, status_id)"
mdcd_mc_pgm_dtl,mdcd_demo_id,demonstration_type_tag_assignment,demonstration_id,id_map,Resolved from PMDA only via migration._id_map_demo
