# Parity accepted-deferrals baseline -- Gate 4: pending/approved unification.
#
# REVERSAL (2026-07-14, workflow 7 now BUILT): per the 2026-07-10 SME answers,
# an ORPHAN pending demonstration (a project number, no approved counterpart)
# now LOADS as its own 'Under Review' demonstration
# (sql/20_app/31_pending_demonstration.sql); a pending demo that FOLDS into an
# approved counterpart is represented by that approved row. This reverses the
# prior "defer all pending-only demos" rule, so the former
# reason=no_approved_counterpart rows (which now load) have been REMOVED from
# this baseline. Only the no-project-number pending demos remain deferred: DEMOS
# demonstration.medicaid_id would have no value to load, so they are held back
# non-gating and logged (migration._parity_pending_approved,
# category=pending_only_deferred).
#
# This file doubles as the SME-signed record of the workflow-7 reversal: Gate 4
# goes GREEN only when the live no-project-number set is a subset of this file
# AND Status is SIGNED with a Reviewer and Date. Key columns:
# legacy_pendg_demo_id, reason.
# Status: UNSIGNED
# Reviewer:
# Date:
legacy_pendg_demo_id,reason,medicaid_id
125,no_project_number,
167,no_project_number,
181,no_project_number,
199,no_project_number,
209,no_project_number,
219,no_project_number,
245,no_project_number,
265,no_project_number,
270,no_project_number,
279,no_project_number,
281,no_project_number,
291,no_project_number,
292,no_project_number,
325,no_project_number,
327,no_project_number,
342,no_project_number,
352,no_project_number,
420,no_project_number,
431,no_project_number,
435,no_project_number,
452,no_project_number,
463,no_project_number,
