legacy_int_cd,legacy_name,status_id,due_date_type_id,expected_to_be_submitted,emit_extension_status,confidence,notes
0,N/A,,,,,n/a,"sentinel; no deliverable state -> all targets NULL"
1,Upcoming,Upcoming,Normal,true,,high,"DDL-confirmed deliverable_status; live obligation"
2,Work in Progress,Upcoming,Normal,true,,medium,"no 'Work in Progress' in seed; in-progress slot = Upcoming"
3,Submitted,Submitted,Normal,true,,high,"DDL-confirmed deliverable_status; awaiting CMS"
4,Requested Resubmission,Upcoming,Normal,true,,high,"deliverable_action_configuration: 'Requested Resubmission' -> Upcoming"
5,Past Due,Past Due,Normal,true,,high,"DDL-confirmed deliverable_status; still expected"
6,Accepted,Accepted,Normal,false,,high,"terminal; already submitted so no longer expected (SME confirm flag semantics)"
7,Overridden,,Normal,false,,none,"no 'Overridden' status in seed; 'overridden' = BN/obligation waived -> expected_to_be_submitted=false; resolved status needs SME + status-history lookup"
8,Under Review,Under CMS Review,Normal,true,,high,"'Under Review' -> 'Under CMS Review' (seed name)"
9,In Audit,,Normal,,,none,"no 'In Audit' status or action in DEMOS; SME decision (likely Under CMS Review)"
10,Overridden / Accepted,Accepted,Normal,false,,medium,"'Overridden' prefix has no analog; terminal outcome = Accepted; expected=false"
11,Overridden / Request Resubmission,Upcoming,Normal,false,,medium,"'Overridden' prefix has no analog; action = Requested Resubmission -> Upcoming; expected=false (overridden)"
12,Received,Received and Filed,Normal,false,,medium,"'Received' -> 'Received and Filed' (seed name); terminal"
13,Approved,Approved,Normal,false,,high,"DDL-confirmed deliverable_status; terminal"
14,Under CMS Review,Under CMS Review,Normal,true,,high,"DDL-confirmed deliverable_status direct match"
15,Open-ended,Upcoming,Open Ended,true,,medium,"NOT a status in DEMOS: set due_date_type_id='Open Ended'; lifecycle status inferred (default Upcoming) from mdcd_dlvrbl.mdcd_dlvrbl_open_endd_ind + status history"
16,Pending Due Date Change,Upcoming,Normal,true,Requested,medium,"NOT a status: model as deliverable_extension (status 'Requested'); base lifecycle status from prior state (default Upcoming)"
