phase_id,document_type_id
Concept,General File
Application Intake,General File
Completeness,General File
Federal Comment,General File
SDG Preparation,General File
Review,General File
Approval Summary,General File
Concept,Pre-Submission
Application Intake,State Application
Completeness,Internal Completeness Review Form
Completeness,Application Completeness Letter
Federal Comment,Federal Comment Internal Analysis Document
Approval Package,Approval Letter
Approval Package,Final Budget Neutrality Formulation Workbook
Approval Package,Formal OMB Policy Concurrence Email
Approval Package,Q&A
Approval Package,Signed Decision Memo
Approval Package,Special Terms & Conditions
